# $Id: steel_magfieldmap.dat,v 1.1 2007/08/24 14:52:43 fisyak Exp $
# $Log: steel_magfieldmap.dat,v $
# Revision 1.1  2007/08/24 14:52:43  fisyak
# Add mag. field map in steel
#
#Magentic field map was calculated by Wuzheng Meng from CAD.
#This calculation was done in the 3D OPERA frame.
#The magnetic steel and coils were in the simulation. 
#z 0-150 cm, phi 0-12 degree,r 222-440cm.
#115 r bin from 222-440cm
#16 z bin  from 0 to 150 cm.
#25 phi bin from 0 to 12 degree. 
#Please note br(phi)=br(phi+12*N),  bphi(phi)=bphi(phi+12*N),  bz(phi)=bz(phi+12*N);
# r     z   phi    bx        bz   by
---------------------------------------------------------< start of table
270    50    0    494.678    4206.77    0.0135895
270    60    0    -24.1731    3984.89    0.0106361
270    70    0    -678.107    4200.4    0.00703753
270    80    0    -313.769    4409.22    0.00459053
270    90    0    -26.7753    4466.06    0.00251266
270    100    0    262.473    4404.25    0.000960541
270    110    0    643.965    4184.99    0.00116577
270    120    0    -182.931    4016.99    0.001633
270    130    0    -546.463    4273.81    0.00438329
270    140    0    -213.412    4443.9    0.01079
270    150    0    67.078    4474.63    0.0207243
271    0    0    3.95365e-16    3669.43    -1.30142e-17
271    10    0    -929.329    3872.13    0.00676031
271    20    0    -482.219    4135.2    0.0109021
271    30    0    -160.878    4238.09    0.0141229
271    40    0    145.752    4218.39    0.0152577
271    50    0    518.172    4059.86    0.0145984
271    60    0    -22.7053    3871.45    0.0112584
271    70    0    -704.071    4056.06    0.00724247
271    80    0    -324.289    4247.66    0.00490106
271    90    0    -26.5249    4301.91    0.00311773
271    100    0    273.734    4243.2    0.00192055
271    110    0    670.064    4044.47    0.00214011
271    120    0    -190.24    3902.13    0.00212118
271    130    0    -569.386    4122.98    0.00453417
271    140    0    -221.447    4281    0.0110802
271    150    0    69.2763    4310.35    0.0211934
272    0    0    2.22875e-16    3562.18    -3.69077e-18
272    10    0    -957.01    3739.72    0.00592835
272    20    0    -497.076    3978.6    0.0107953
272    30    0    -164.033    4076.38    0.0144299
272    40    0    153.033    4058.37    0.0158015
272    50    0    538.492    3914.18    0.0152308
272    60    0    -21.5504    3753.55    0.0116432
272    70    0    -726.428    3912.61    0.00736545
272    80    0    -334.104    4087.32    0.00508968
272    90    0    -26.2998    4138.71    0.00349383
272    100    0    284.139    4083.44    0.00258316
272    110    0    692.082    3904.21    0.00276439
272    120    0    -196.387    3782.91    0.00242068
272    130    0    -589.632    3973.57    0.00461789
272    140    0    -228.983    4119.22    0.0112594
272    150    0    71.3254    4147.01    0.021486
273    0    0    2.87416e-17    3451.41    -5.51131e-20
273    10    0    -980.733    3607.13    0.00499745
273    20    0    -510.778    3823.34    0.0106417
273    30    0    -167.023    3915.63    0.0145504
273    40    0    159.708    3899.46    0.0160207
273    50    0    555.952    3769.3    0.0154867
273    60    0    -20.6636    3631.94    0.0117903
273    70    0    -745.623    3769.65    0.00740646
273    80    0    -343.163    3928.08    0.00515639
273    90    0    -26.1028    3976.37    0.00364099
273    100    0    293.631    3924.81    0.00294839
273    110    0    710.64    3763.94    0.00303862
273    120    0    -201.535    3660.05    0.0025315
273    130    0    -607.374    3825.2    0.00463445
273    140    0    -235.974    3958.44    0.0113275
273    150    0    73.2119    3984.57    0.0216022
274    0    0    0    3337.93    0
274    10    0    -1000.9    3474.32    0.00512965
274    20    0    -523.224    3669.1    0.0107752
274    30    0    -169.845    3755.59    0.0145247
274    40    0    165.783    3741.38    0.0159611
274    50    0    570.928    3625    0.0153855
274    60    0    -20.0093    3507.55    0.0117302
274    70    0    -761.89    3627    0.00737238
274    80    0    -351.343    3769.71    0.00510488
274    90    0    -25.8996    3814.69    0.00351207
274    100    0    302.317    3767.08    0.00266076
274    110    0    726.346    3623.59    0.00265154
274    120    0    -205.754    3534.47    0.00219729
274    130    0    -622.617    3677.57    0.00427679
274    140    0    -242.286    3798.46    0.0106924
274    150    0    75.087    3822.77    0.0205067
275    0    0    0    3221.76    0
275    10    0    -1018.18    3341.15    0.00543272
275    20    0    -534.511    3515.9    0.0109358
275    30    0    -172.479    3596.43    0.0144239
275    40    0    171.254    3584.23    0.0157368
275    50    0    583.726    3481.01    0.0150722
275    60    0    -19.5201    3380.56    0.0114999
275    70    0    -775.763    3484.42    0.00721955
275    80    0    -358.742    3612.24    0.0049007
275    90    0    -25.7044    3653.79    0.00315854
275    100    0    310.178    3610.25    0.00205995
275    110    0    739.638    3482.96    0.00193517
275    120    0    -209.251    3406.35    0.00157007
275    130    0    -635.792    3530.45    0.0036303
275    140    0    -248.02    3639.33    0.0096842
275    150    0    76.8131    3661.77    0.018918
276    0    0    0    3103.24    0
276    10    0    -1032.92    3207.58    0.00572485
276    20    0    -544.64    3363.63    0.0110707
276    30    0    -174.913    3438.08    0.0142493
276    40    0    176.099    3427.91    0.0153517
276    50    0    594.565    3337.18    0.0145556
276    60    0    -19.1617    3251.37    0.0110992
276    70    0    -787.539    3341.79    0.00694404
276    80    0    -365.36    3455.57    0.00454088
276    90    0    -25.5235    3493.64    0.00258891
276    100    0    317.188    3454.22    0.00120656
