STAR Bfield Maps by Foley, Love, & Trentalange 
Full Field in the REVERSED direction: October 1998
57 steps in Z
28 steps in R
   R      Z      Br       Bz 
 209.5  -60.0   -27.62 -4976.21
 212.0  -60.0   -28.93 -4976.46
 219.5  -60.0   -33.66 -4975.65
 222.0  -60.0   -34.97 -4976.06
  14.5  -50.0    -0.21 -4980.22
  17.0  -50.0    -0.28 -4980.23
  24.5  -50.0    -0.38 -4980.11
  27.0  -50.0    -0.44 -4980.05
  34.5  -50.0    -0.56 -4979.99
  37.0  -50.0    -0.63 -4979.93
  44.5  -50.0    -0.77 -4979.83
  47.0  -50.0    -0.84 -4979.79
  59.5  -50.0    -1.15 -4979.57
  64.5  -50.0    -1.31 -4979.54
  79.5  -50.0    -1.81 -4979.11
  84.5  -50.0    -2.03 -4979.08
  99.5  -50.0    -2.77 -4978.51
 104.5  -50.0    -3.12 -4978.46
 119.5  -50.0    -4.19 -4977.69
 124.5  -50.0    -4.66 -4977.63
 139.5  -50.0    -6.35 -4976.60
 144.5  -50.0    -7.04 -4976.50
 159.5  -50.0    -9.66 -4975.11
 164.5  -50.0   -10.71 -4975.04
 179.5  -50.0   -14.78 -4973.24
 184.5  -50.0   -16.27 -4973.15
