#ZVView-data-copy:  17-Jun-2013 17:15:49
#=======================================
#
#name:   2-HE-3(N,P)1-H-3,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  61
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     4.2633e-7      1294.45
    4.69894e-7         1233
     5.1801e-7      1174.33
    5.70942e-7      1118.56
    6.29405e-7      1065.29
     6.9372e-7      1014.65
    7.64755e-7       966.32
      8.429e-7       920.38
    9.29211e-7      876.524
    1.02416e-6      834.827
    1.12903e-6      795.028
     1.2444e-6      757.193
    1.37182e-6      721.084
      1.512e-6      686.766
    1.66683e-6      654.005
    1.83715e-6      622.853
    2.02527e-6      593.129
    2.23222e-6      564.889
    2.46079e-6      537.957
    2.71224e-6      512.342
    2.98996e-6      487.918
    3.29549e-6      464.694
    3.63294e-6      442.508
    4.00417e-6      421.434
    4.41418e-6       401.32
    4.86524e-6      382.238
    5.36342e-6       363.99
    5.91148e-6      346.675
    6.51679e-6      330.151
     7.1827e-6      314.411
    7.91819e-6      299.426
     8.7273e-6      285.175
    9.62095e-6      271.542
    1.06041e-5       258.57
    1.16899e-5      246.223
    1.28844e-5      234.363
    1.42037e-5      223.191
    1.56551e-5      212.517
    1.72581e-5      202.246
    1.90216e-5      192.579
    2.09694e-5      183.335
    2.31121e-5      174.592
    2.58332e-5      165.005
    2.84784e-5       157.16
    3.09578e-5        150.7
     3.3653e-5      144.418
    3.70918e-5      137.525
    4.08899e-5       130.92
    4.50681e-5      124.642
    5.10849e-5      116.993
    5.55323e-5      112.235
     6.0367e-5      107.589
    6.65355e-5      102.404
    7.23281e-5      98.2028
     7.8625e-5      94.1645
     8.6676e-5      89.6336
    9.42221e-5      85.9385
   0.000102425      82.3899
   0.000111342      78.9549
   0.000121036      75.6937
   0.000131573      72.5254
   0.000143028      69.5185
    0.00015548      66.6248
   0.000171368      63.4067
   0.000186287      60.7684
   0.000202505      58.2376
   0.000223241      55.4066
   0.000239301      53.4721
   0.000263804      50.8645
   0.000286771      48.7421
   0.000311738      46.6993
   0.000343592      44.4282
   0.000373505       42.567
   0.000406023      40.7836
   0.000447598      38.7808
   0.000486567      37.1509
   0.000521569      35.8357
   0.000574976       34.074
   0.000633729        32.41
   0.000688902      31.0303
   0.000748878      29.7166
   0.000814076      28.4604
   0.000897434      27.0472
   0.000975565      25.8944
     0.0010605      24.7853
    0.00113679      23.8966
    0.00123576      22.8765
    0.00134334      21.8886
     0.0014809      20.7942
    0.00160494      19.9296
    0.00174467      19.0679
    0.00189656      18.2467
      0.002033      17.5877
    0.00220999      16.8195
    0.00241523      16.0413
    0.00268345      15.1621
    0.00291707      14.4967
    0.00315372      13.9004
    0.00342828      13.2832
    0.00372675      12.6969
     0.0040512      12.1367
    0.00447242      11.4973
    0.00486179      10.9842
    0.00528506      10.4906
    0.00582511      9.94311
    0.00631966      9.50315
    0.00683039       9.1009
    0.00733973       8.7444
    0.00811287      8.26707
    0.00881918      7.88609
    0.00958698      7.52308
      0.010614      7.10019
     0.0115381      6.76795
     0.0128675      6.35765
     0.0139877       6.0584
     0.0152055      5.77314
     0.0167087      5.46323
     0.0179547      5.23758
     0.0194746       4.9927
     0.0211701      4.75099
     0.0230132      4.52127
     0.0253527      4.26625
     0.0273809      4.07291
     0.0296324      3.88274
     0.0324515      3.67375
     0.0354938      3.47692
     0.0379445      3.33733
     0.0411953       3.1704
     0.0456349      2.97639
     0.0493873      2.83285
     0.0531803      2.70399
     0.0565519      2.60308
     0.0606318       2.4902
     0.0659105      2.36252
     0.0709876      2.25423
     0.0760581      2.15792
     0.0811287        2.072
     0.0873885       1.9761
     0.0948683      1.87665
      0.102305      1.79023
      0.113651      1.67816
      0.121693      1.60921
      0.131443      1.53659
          0.14      1.47902
      0.151778      1.41247
          0.16      1.36992
      0.177243      1.29669
      0.187386      1.25989
           0.2      1.21872
      0.226701      1.15506
      0.249866      1.10718
      0.294721      1.05026
      0.304232      1.04118
          0.35      1.00851
      0.411287     0.981872
      0.684053     0.881876
      0.734791     0.866689
           0.8     0.850664
      0.861992     0.841966
          0.95     0.836595
       1.01411     0.839806
       1.21466     0.861175
       1.33668     0.874758
       1.41975     0.881509
           1.5     0.885036
           1.6     0.883846
           1.7     0.877267
       1.82539     0.862118
       1.95361     0.841248
       2.08545     0.815438
       2.26208     0.778011
       2.78738     0.664476
       2.98005     0.626479
       3.16186      0.59257
       3.30341     0.567996
       3.60912     0.521469
       3.76291     0.500227
       3.95613     0.475783
       4.08772     0.460257
       4.42415     0.425256
       4.74342     0.394279
             5     0.372001
       5.24404     0.352489
           5.5     0.334001
       5.74456     0.318123
         6.245     0.288661
           6.5     0.275002
       7.42605     0.241636
       7.85525     0.226754
             8     0.222001
       8.37214     0.211415
       8.86983     0.198978
           9.5     0.184001
            10        0.175
          10.5     0.165001
            11        0.158
          11.5         0.15
            12        0.143
            13        0.131
          13.5        0.126
            14        0.122
       14.8717      0.11321
       15.2116     0.110277
            16        0.104
            17    0.0976001
            18    0.0918001
            19    0.0866001
            20    0.0820011
//
#-------------------------------------------------------------------------------
