Run	Sanity	CTB	Sigfrac	FTPCin	FTPCHV		FTPCBum	Shiftlog
4074036	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074041	Good	Good	Good 	Good 	Good	 	Absent Good 	
4075008	Good	Good	Good 	Good 	Good	 	Absent Good 	
4075009	Good	Good	Good 	Good 	Good	 	Absent Good 	
4075012	Good	Good	Good 	Good 	Good	 	Absent Good 	
4075013	Good	Good	Good 	Good 	Good	 	Absent Good 	
4075014	Good	Good	Good 	Good 	Good	 	Absent Good 	
4075044	Good	Good	Good 	Good 	Good	 	Absent Good 	
4076006	Good	Good	Good 	Good 	Good	 	Absent Good 	
4076007	Good	Good	Good 	Good 	Good	 	Absent Good 	
4076012	Good	Good	Good 	Good 	Good	 	Absent Good 	
4076013	Good	Good	Good 	Good 	Good	 	Absent Good 	
4076015	Good	Good	Good 	Good 	Good	 	Absent Good 	
4077004	Good	Good	Good 	Good 	Good	 	Absent Good 	
4077022	Good	Good	Good 	Good 	Good	 	Absent Good 	
4077023	Good	Good	Good 	Good 	Good	 	Absent Good 	
4077028	Good	Good	Good 	Good 	Good	 	Absent Good 	
4078002	Good	Good	Good 	Good 	Good	 	Absent Good 	
4078007	Good	Good	Good 	Good 	Good	 	Absent Good 	
4078010	Good	Good	Good 	Good 	Good	 	Absent Good 	
4078011	Good	Good	Good 	Good 	Good	 	Absent Good 	
4078013	Good	Good	Good 	Good 	Good	 	Absent Good 	
4078054	Good	Good	Good 	Good 	Good	 	Absent Good 	
4078055	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079008	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079009	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079010	Good	Good	Good 	Good 	Good	 	Absent Good 	
