// table produced by Bill Love  7/ 1/2000 
//  R351027_1g.root  sector 14 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 3605 mean   -179.227 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   6,   5,     12,  293.322,  0.292,   0.0182,  0.0009,    2.585,  0.241, -196.492,  0.107, -151.360,  0.146 },
{  18,   7,   5,    242,  311.497,  0.384,   0.0178,  0.0018,    2.286,  0.077, -196.630,  0.068, -151.759,  0.187 },
//     mean xls     2.2758 mean yls  -196.6409 mean zls  -151.6735 

// zrange -125.0 to -115.0  n= 1806 mean   -120.524 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   4,    401,  223.129,  0.406,   0.0208,  0.0006,    2.972,  0.072, -197.066,  0.077, -120.657,  0.171 },
{  18,   2,   4,    251,  247.006,  0.294,   0.0371,  0.0020,    2.976,  0.164, -197.056,  0.052, -120.507,  0.178 },
{  18,   3,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   4,   4,    517,  271.458,  0.222,   0.0475,  0.0011,    2.920,  0.301, -197.048,  0.012, -120.566,  0.194 },
{  18,   5,   4,    493,  288.091,  0.179,   0.0470,  0.0005,    3.003,  0.188, -197.033,  0.062, -120.453,  0.170 },
{  18,   6,   4,    169,  315.355,  0.439,   0.0417,  0.0030,    2.927,  0.110, -197.076,  0.111, -120.586,  0.200 },
{  18,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     2.9619 mean yls  -197.0516 mean zls  -120.5494 

// zrange  -97.0 to  -87.0  n= 4884 mean    -90.864 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   3,    466,  233.110,  0.227,   0.0342,  0.0005,    2.034,  0.085, -196.995,  0.064,  -90.849,  0.172 },
{  18,   2,   3,    499,  245.425,  0.206,   0.0372,  0.0003,    2.115,  0.086, -197.042,  0.040,  -90.687,  0.167 },
{  18,   3,   3,    476,  254.618,  0.169,   0.0425,  0.0003,    2.439,  0.140, -197.115,  0.035,  -90.493,  0.171 },
{  18,   4,   3,    494,  271.072,  0.086,   0.0395,  0.0003,    2.176,  0.067, -197.015,  0.002,  -90.621,  0.167 },
{  18,   5,   3,    378,  289.639,  0.264,   0.0380,  0.0009,    1.582,  0.199, -197.179,  0.063,  -90.389,  0.174 },
{  18,   6,   3,    372,  295.423,  0.204,   0.0313,  0.0004,    2.420,  0.148, -196.839,  0.075,  -90.655,  0.172 },
{  18,   7,   3,    479,  312.357,  0.222,   0.0239,  0.0008,    2.148,  0.069, -196.938,  0.064,  -90.784,  0.172 },
//     mean xls     2.1386 mean yls  -197.0185 mean zls   -90.6465 

// zrange  -64.0 to  -58.0  n= 3286 mean    -59.649 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   2,    287,  222.507,  0.350,   0.0472,  0.0005,    2.748,  0.071, -197.476,  0.085,  -59.871,  0.169 },
{  18,   2,   2,    467,  247.356,  0.302,   0.0416,  0.0004,    2.574,  0.260, -197.377,  0.112,  -59.681,  0.170 },
{  18,   3,   2,    369,  254.561,  0.187,   0.0428,  0.0007,    3.152,  0.115, -197.553,  0.028,  -59.515,  0.167 },
{  18,   4,   2,    524,  271.600,  0.200,   0.0339,  0.0009,    2.585,  0.241, -197.441,  0.008,  -59.599,  0.180 },
{  18,   5,   2,    500,  285.784,  0.174,   0.0201,  0.0003,    2.836,  0.168, -197.408,  0.120,  -59.514,  0.168 },
{  18,   6,   2,    491,  315.568,  0.222,  -0.0073,  0.0007,    2.607,  0.074, -197.546,  0.073,  -59.593,  0.163 },
{  18,   7,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     2.7319 mean yls  -197.4625 mean zls   -59.6141 

