   P10ep1.DAT, CH4    09:39:55   28-May-03 N2=64
  ASSM64.DAT   09:36:46   28-May-03 df/dE for CH4, N2=64                
   10.000   16.043   .00071576   .00066692 Z, A, rho                    
   8.6000  287.800  200.000   first E, K-shell & sbb                    
   64    8.6422   1.01089 1.08304E-02  N2, E(1), um, u                  
   ( SABRAr2.DAT   08:55:52   27-May-03 )                               
  18.00  39.9480  .001782  .001661 Z, A, rho                            
     10.600     248.50    1100.00 first E, L-shell & sbb                
   64   10.6312   1.01089 1.08304E-02  N2, E(2), um, u                  
     .000     .000     .050 df/dE coefficients                          
    J  E(J)[eV]     ep(2,J)      ep(1,J)      df/dE(J)
  259 1.41303E+02  2.93713E-06 -1.0999E-05  7.65428E-03
  260 1.42842E+02  2.85926E-06 -1.0760E-05  7.53236E-03
  261 1.44397E+02  2.78023E-06 -1.0520E-05  7.40383E-03
  262 1.45970E+02  2.70300E-06 -1.0278E-05  7.27655E-03
  263 1.47559E+02  2.62897E-06 -1.0036E-05  7.15439E-03
  264 1.49166E+02  2.55842E-06 -9.7982E-06  7.03820E-03
  265 1.50790E+02  2.48365E-06 -9.5606E-06  6.90691E-03
  266 1.52432E+02  2.41580E-06 -9.3229E-06  6.79133E-03
  267 1.54092E+02  2.34980E-06 -9.0895E-06  6.67765E-03
  268 1.55770E+02  2.28557E-06 -8.8590E-06  6.56601E-03
  269 1.57466E+02  2.22323E-06 -8.6314E-06  6.45641E-03
  270 1.59181E+02  2.16256E-06 -8.4069E-06  6.34862E-03
  271 1.60914E+02  2.10355E-06 -8.1852E-06  6.24277E-03
  272 1.62667E+02  2.04622E-06 -7.9663E-06  6.13872E-03
  273 1.64438E+02  1.99052E-06 -7.7504E-06  6.03649E-03
  274 1.66228E+02  1.93632E-06 -7.5374E-06  5.93612E-03
  275 1.68039E+02  1.88354E-06 -7.3268E-06  5.83734E-03
  276 1.69868E+02  1.83234E-06 -7.1190E-06  5.74037E-03
  277 1.71718E+02  1.78249E-06 -6.9136E-06  5.64500E-03
  278 1.73588E+02  1.73403E-06 -6.7107E-06  5.55129E-03
  279 1.75478E+02  1.68691E-06 -6.5101E-06  5.45922E-03
  280 1.77389E+02  1.64107E-06 -6.3117E-06  5.36868E-03
  281 1.79321E+02  1.59646E-06 -6.1153E-06  5.27978E-03
  282 1.81273E+02  1.55316E-06 -5.9209E-06  5.19230E-03
  283 1.83247E+02  1.51099E-06 -5.7282E-06  5.10636E-03
  284 1.85243E+02  1.47000E-06 -5.5371E-06  5.02190E-03
  285 1.87260E+02  1.43006E-06 -5.3474E-06  4.93888E-03
  286 1.89299E+02  1.39133E-06 -5.1590E-06  4.85725E-03
  287 1.91360E+02  1.35355E-06 -4.9715E-06  4.77703E-03
  288 1.93444E+02  1.31684E-06 -4.7847E-06  4.69807E-03
  289 1.95551E+02  1.28120E-06 -4.5983E-06  4.62054E-03
  290 1.97680E+02  1.24649E-06 -4.4122E-06  4.54435E-03
  291 1.99833E+02  1.21270E-06 -4.2259E-06  4.46933E-03
  292 2.02009E+02  1.17985E-06 -4.0390E-06  4.39563E-03
  293 2.04208E+02  1.14795E-06 -3.8512E-06  4.32329E-03
  294 2.06432E+02  1.11688E-06 -3.6617E-06  4.25205E-03
  295 2.08680E+02  1.08664E-06 -3.4702E-06  4.18201E-03
  296 2.10952E+02  1.05726E-06 -3.2759E-06  4.11319E-03
  297 2.13250E+02  1.02860E-06 -3.0777E-06  4.04548E-03
  298 2.15572E+02  1.00081E-06 -2.8749E-06  3.97894E-03
  299 2.17919E+02  9.73751E-07 -2.6662E-06  3.91350E-03
  300 2.20292E+02  9.47454E-07 -2.4498E-06  3.84912E-03
  301 2.22691E+02  9.21806E-07 -2.2239E-06  3.78584E-03
  302 2.25116E+02  8.96887E-07 -1.9856E-06  3.72361E-03
  303 2.27567E+02  8.72644E-07 -1.7316E-06  3.66236E-03
  304 2.30045E+02  8.49101E-07 -1.4569E-06  3.60238E-03
  305 2.32550E+02  8.25981E-07 -1.1542E-06  3.54246E-03
  306 2.35083E+02  8.04293E-07 -8.1380E-07  3.48717E-03
  307 2.37642E+02  7.80181E-07 -4.1516E-07  3.41887E-03
  308 2.40230E+02  7.68149E-07  5.7328E-08  3.40458E-03
  309 2.42846E+02  7.13134E-07  7.1849E-07  3.19004E-03
  310 2.45491E+02  8.23661E-07  1.5036E-06  3.73889E-03
  311 2.48164E+02  3.08849E-07  4.4417E-06  1.39587E-03
  312 2.50866E+02  6.43083E-06  4.8003E-06  2.97727E-02
  313 2.53598E+02  7.31734E-06  1.5079E-06  3.42108E-02
  314 2.56359E+02  6.66930E-06 -9.1565E-08  3.15374E-02
  315 2.59151E+02  6.28687E-06 -7.2349E-07  3.00455E-02
  316 2.61973E+02  6.00046E-06 -1.1060E-06  2.89917E-02
  317 2.64826E+02  5.88354E-06 -1.3992E-06  2.87350E-02
  318 2.67709E+02  5.82564E-06 -1.8444E-06  2.87638E-02
  319 2.70625E+02  5.33176E-06 -2.1208E-06  2.66096E-02
  320 2.73571E+02  5.12805E-06 -2.1375E-06  2.58738E-02
  321 2.76550E+02  4.98697E-06 -2.2032E-06  2.54343E-02
  322 2.79562E+02  4.82092E-06 -2.2497E-06  2.48560E-02
  323 2.82606E+02  4.69112E-06 -2.2325E-06  2.44502E-02
  324 2.85683E+02  4.63124E-06 -2.1142E-06  2.44008E-02
  325 2.88794E+02  4.95408E-06 -2.2880E-06  2.63858E-02
  326 2.91939E+02  4.68514E-06 -2.5674E-06  2.52256E-02
  327 2.95118E+02  4.55209E-06 -2.6149E-06  2.47761E-02
  328 2.98332E+02  4.43636E-06 -2.6586E-06  2.44090E-02
  329 3.01580E+02  4.35682E-06 -2.7100E-06  2.42321E-02
  330 3.04864E+02  4.25157E-06 -2.7735E-06  2.39046E-02
  331 3.08184E+02  4.12771E-06 -2.8060E-06  2.34601E-02
  332 3.11540E+02  4.03923E-06 -2.8234E-06  2.32076E-02
  333 3.14932E+02  3.95107E-06 -2.8493E-06  2.29486E-02
  334 3.18362E+02  3.86265E-06 -2.8744E-06  2.26791E-02
  335 3.21829E+02  3.77235E-06 -2.8967E-06  2.23898E-02
  336 3.25333E+02  3.68171E-06 -2.9143E-06  2.20898E-02
  337 3.28876E+02  3.59286E-06 -2.9280E-06  2.17922E-02
  338 3.32457E+02  3.50454E-06 -2.9386E-06  2.14872E-02
  339 3.36077E+02  3.41753E-06 -2.9459E-06  2.11822E-02
  340 3.39737E+02  3.33204E-06 -2.9507E-06  2.08773E-02
