# E [eV]	eps1	eps2	Im(-1/eps)
# Palik Vol.  I			
9	-2.620911	1.21844	0.145855096
9.25	-2.375296	1.09968	0.160506128
9.5	-2.169876	1.00264	0.175481558
9.75	-2.001376	0.9222	0.189911004
10	-1.810764	0.84456	0.211555291
10.25	-1.655375	0.7788	0.232700182
10.5	-1.505804	0.72072	0.258611502
10.75	-1.386816	0.67276	0.28316428
11	-1.271616	0.63104	0.313137224
11.25	-1.160811	0.59274	0.348912182
11.5	-1.054431	0.55756	0.391903302
11.75	-0.953019	0.52318	0.442636706
12	-0.86132	0.494982	0.501562844
12.25	-0.777188	0.470016	0.569760406
12.5	-0.7006	0.44625	0.646758418
12.75	-0.628353	0.426496	0.739511927
13	-0.5607	0.408672	0.848928744
13.25	-0.497383	0.392544	0.977740793
13.5	-0.439571	0.37842	1.124829366
13.75	-0.385968	0.364226	1.2932698
14	-0.335256	0.35255	1.489513067
14.25	-0.289488	0.341134	1.704172815
14.5	-0.245385	0.330048	1.951267033
14.75	-0.205065	0.320272	2.214487193
15	-0.167684	0.31008	2.495261629
15.25	-0.131472	0.299854	2.797215763
15.5	-0.098171	0.2907	3.087821754
15.75	-0.066352	0.280386	3.377375639
16	-0.036211	0.27186	3.614241782
16.25	-0.00724	0.262038	3.813329321
16.5	0.019197	0.252396	3.939239506
16.6	0.028987	0.249084	3.961065191
16.7	0.039312	0.244834	3.981745005
16.8	0.0504	0.242408	3.954337492
17	0.069993	0.235024	3.908253514
17.25	0.093296	0.22605	3.779926754
17.5	0.116451	0.21726	3.575546285
17.75	0.137431	0.20856	3.34313526
18	0.159064	0.19929	3.06515778
18.5	0.199504	0.18333	2.497284667
19	0.237627	0.167564	1.981967197
19.5	0.274164	0.15176	1.545464784
#			
20	0.31451675	0.094689	0.877669987
20.33	0.342624	0.08732	0.698470664
20.66	0.367875	0.0793	0.559947161
21.01	0.389765	0.072732	0.46265204
21.38	0.412135	0.065688	0.377148391
21.75	0.43221075	0.059969	0.314959243
22.14	0.45398475	0.054675	0.26148838
22.54	0.47614875	0.050443	0.220023256
22.96	0.49737975	0.04589	0.183933379
23.39	0.52043136	0.0421648	0.154661317
23.84	0.54247204	0.0389136	0.131558119
24.31	0.56491351	0.0365472	0.114045001
24.8	0.58625871	0.0341636	0.099063282
25.3	0.60486375	0.031898	0.08694452
25.83	0.62689536	0.0304128	0.077204989
26.38	0.64449216	0.0285868	0.068687335
26.95	0.66231376	0.0273504	0.062243808
27.55	0.67872636	0.0260384	0.056439889
28.18	0.69532496	0.0253536	0.052370529
28.83	0.71043291	0.0247842	0.049045654
29.52	0.72740736	0.0242252	0.045733093
30.24	0.73940956	0.023736	0.043370068
31	0.75497875	0.023463	0.041123951
31.79	0.76895476	0.0231528	0.03912086
32.63	0.78306116	0.022656	0.036917176
33.51	0.79729524	0.0221464	0.03481207
34.44	0.80805459	0.0217558	0.033294995
35.42	0.82069911	0.0212004	0.031454763
36.47	0.83344131	0.0206338	0.029686778
# Henke			
37.2726	0.833692203	0.018965306	0.027272421
37.8754	0.839460367	0.018620326	0.026410295
38.488	0.845021067	0.018278867	0.025586509
39.1106	0.85037039	0.017941002	0.02479917
39.7431	0.855496964	0.017562506	0.023986482
40.386	0.860473252	0.017119768	0.02311273
41.0392	0.865344708	0.01668699	0.022276054
41.7029	0.870067353	0.016263525	0.021476189
42.3774	0.874647807	0.015849276	0.02071097
43.0629	0.879089598	0.015444054	0.019978415
43.7594	0.883394466	0.0150479	0.019277048
44.4671	0.887566658	0.014660683	0.018605175
45.1864	0.891610235	0.014282178	0.0179611
45.9172	0.895523723	0.013912344	0.017343682
46.6599	0.899316587	0.013533214	0.016729286
47.4146	0.90300273	0.013155366	0.016129936
48.1815	0.90659118	0.012787295	0.015554975
48.9608	0.910077579	0.012428749	0.015003397
49.7527	0.913465995	0.012079487	0.014473974
50.5574	0.916760498	0.01173938	0.013965682
51.3751	0.919964387	0.011408236	0.013477511
52.2061	0.923101449	0.011085925	0.013007998
53.0505	0.92616199	0.010791343	0.012578899
53.9085	0.929121575	0.010550539	0.012220067
54.7804	0.931976554	0.01031447	0.011873636
55.6665	0.934743259	0.010083096	0.011538748
56.5668	0.937429017	0.009856503	0.011214968
57.4817	0.940040758	0.009634575	0.010901684
58.4115	0.942596283	0.009417296	0.010598183
59.3562	0.94512831	0.009204808	0.010303671
60.3163	0.947572745	0.00911913	0.010155191
61.2918	0.949888369	0.009048407	0.010027383
62.2832	0.952099722	0.008977699	0.009902881
63.2906	0.954216913	0.008907086	0.009781458
64.3142	0.956237949	0.008836578	0.009663069
65.3545	0.958122067	0.008756266	0.009537642
66.4115	0.959973203	0.008550412	0.009277572
67.4857	0.961803782	0.00834925	0.009024888
68.5772	0.963581522	0.008152598	0.008779868
69.6864	0.965276269	0.007960218	0.008542641
70.8135	0.966878037	0.007653331	0.008186154
71.9588	0.968551767	0.007236992	0.007714151
73.1227	0.970270201	0.006843451	0.007268891
74.3054	0.97196308	0.006471216	0.00684963
75.5072	0.973617262	0.006015561	0.006345751
76.7285	0.975392437	0.005514786	0.005796369
77.9695	0.977287178	0.005056002	0.005293602
79.2306	0.979243547	0.004638862	0.004837492
80.5121	0.981235369	0.004447043	0.00461866
81.8143	0.98314892	0.004262995	0.004410299
83.1376	0.985056981	0.004086531	0.004211382
84.4823	0.987040355	0.003923367	0.004027006
85.8487	0.989037111	0.003864821	0.003950914
87.2373	0.99101088	0.003807097	0.003876419
88.6483	0.993047052	0.003750343	0.003802989
90.0821	0.995182133	0.003694616	0.003730424
91.5391	0.99747579	0.003651567	0.003670022
93.0197	0.999983841	0.003633018	0.003633088
94.5242	1.002826403	0.00361517	0.003594774
96.053	1.006286173	0.003598498	0.003553635
97.6066	1.0110569	0.003597649	0.003519347
99.1853	1.020264586	0.003659708	0.003515728
99.5	1.024515477	0.003676434	0.003502548
99.524	1.024954096	0.003643185	0.003467903
99.549	1.025524934	0.003643755	0.003464586
99.576	1.026198515	0.003667197	0.003482298
99.601	1.026896518	0.003765167	0.003570467
99.626	1.027642892	0.00388227	0.003676165
99.649	1.028421319	0.004090988	0.003867935
99.676	1.029411966	0.004430048	0.00418044
99.699	1.030266506	0.004983806	0.004695176
99.726	1.031211172	0.005719047	0.005377929
99.749	1.031872117	0.006619162	0.006216321
99.775	1.032443237	0.007570869	0.007102153
99.826	1.03320588	0.009658449	0.009046815
99.851	1.033334992	0.010685566	0.010006192
99.875	1.033284858	0.011647854	0.010908138
99.899	1.033121816	0.012483087	0.011693797
99.926	1.032910913	0.01317407	0.012345924
99.951	1.032791019	0.013830797	0.012964161
99.974	1.032584617	0.014408842	0.013511178
100	1.032389479	0.014924479	0.013999783
100.03	1.032232512	0.015394061	0.014444469
100.12	1.031781078	0.016863074	0.015836005
100.18	1.031740581	0.017404455	0.016345411
100.22	1.031850958	0.018002713	0.016903313
100.25	1.031998391	0.018242708	0.01712362
100.28	1.032377016	0.018593622	0.017440001
100.3	1.032613585	0.018993954	0.017807084
100.35	1.033158875	0.020251276	0.018964934
100.38	1.033503139	0.020978994	0.019632796
100.45	1.033546521	0.023563617	0.022047341
100.48	1.033496222	0.02445279	0.022880609
100.5	1.033331104	0.025278237	0.02365963
100.55	1.032823321	0.026777954	0.025086119
100.6	1.032111168	0.028389125	0.026629965
100.62	1.031565284	0.029269287	0.027483321
100.68	1.030881819	0.030106866	0.028305936
100.7	1.030461171	0.030988257	0.029156897
100.75	1.029376766	0.032748874	0.030875095
100.77	1.028639969	0.033425714	0.031556989
100.8	1.027514454	0.033983778	0.032152961
100.85	1.025720445	0.034797985	0.033036689
100.9	1.023960266	0.03506951	0.033408299
101	1.021129574	0.034999245	0.033526412
101.02	1.020650316	0.03491007	0.033472564
